City,State,Latitude,Longitude
"Cottonwood",AL,31.054033,-85.29956
"County Line",AL,33.818902,-86.714706
"Courtland",AL,34.669946,-87.327892
"Cowarts",AL,31.206248,-85.309769
"Creola",AL,30.874249,-88.009537
"Crossville",AL,34.282697,-85.999737
"Cuba",AL,32.440733,-88.374798
"Cullman",AL,34.17687,-86.840656
"Cullomburg ",AL,31.713061,-88.291774
"Cusseta",AL,32.787637,-85.305769
"Dadeville",AL,32.826114,-85.776201
"Daleville",AL,31.291534,-85.711711
"Daphne",AL,30.623922,-87.878482
"Dauphin Island",AL,30.250913,-88.171268
"Daviston",AL,33.056839,-85.634329
"Dayton",AL,32.350958,-87.641573
"Deatsville",AL,32.589044,-86.389059
"Decatur",AL,34.572995,-86.989901
"Deer Park ",AL,31.218369,-88.328023
"Delta ",AL,33.440524,-85.675905
"Demopolis",AL,32.499744,-87.826678
"Detroit",AL,34.027379,-88.167831
"Dodge City",AL,34.043275,-86.885524
"Dora",AL,33.728116,-87.081292
"Dothan",AL,31.233698,-85.406823
"Double Springs",AL,34.149648,-87.389447
"Douglas",AL,34.168258,-86.323386
"Dozier",AL,31.505407,-86.369235
"Dunnavant ",AL,33.495171,-86.540245
"Dutton",AL,34.606152,-85.91185
"Eagle Point ",AL,33.400912,-86.676753
"East Brewton",AL,31.09144,-87.055345
"East Point ",AL,34.19121,-86.792253
"Eclectic",AL,32.640222,-86.041062
"Edgewater ",AL,33.530099,-86.95279
"Edwardsville",AL,33.88374,-85.414124
"Egypt ",AL,34.075938,-86.165054
"Elba",AL,31.417218,-86.077115
"Elberta",AL,30.373753,-87.595729
"Eldridge",AL,33.923053,-87.622869
"Elkmont",AL,34.932604,-86.976971
"Elmore",AL,32.556606,-86.341025
"Emelle",AL,32.728678,-88.316486
"Emerald Mountain ",AL,32.447694,-86.094381
"Enterprise",AL,31.325529,-85.846071
"Epes",AL,32.695049,-88.141963
"Equality ",AL,32.765659,-86.123185
"Ethelsville",AL,33.414066,-88.216093
"Eufaula",AL,31.909937,-85.152709
"Eunola ",AL,31.031391,-85.833966
"Eutaw",AL,32.846247,-87.900332
"Eva",AL,34.326504,-86.765318
"Evergreen",AL,31.433216,-86.976081
"Excel",AL,31.426386,-87.343663
"Fairfield",AL,33.474802,-86.919407
"Fairford ",AL,31.178002,-88.072784
"Fairhope",AL,30.52092,-87.879122
"Fairview",AL,34.250195,-86.677724
"Falkville",AL,34.377019,-86.909547
"Faunsdale",AL,32.457614,-87.593789
"Fayette",AL,33.694215,-87.831169
"Fayetteville ",AL,33.168097,-86.442774
"Fitzpatrick ",AL,32.210377,-85.873693
"Five Points",AL,33.017311,-85.351592
"Flomaton",AL,31.014816,-87.256016
"Florala",AL,31.022391,-86.318152
"Florence",AL,34.82981,-87.662202
"Foley",AL,30.397071,-87.668458
"Forestdale ",AL,33.573632,-86.90011
"Forkland",AL,32.647435,-87.867436
"Fort Deposit",AL,31.986261,-86.566359
"Fort Novosel ",AL,31.342576,-85.716072
"Fort Payne",AL,34.457329,-85.689447
"Franklin",AL,32.452693,-85.78541
"Fredonia ",AL,32.983613,-85.292333
"Frisco City",AL,31.439485,-87.404182
"Fruitdale ",AL,31.34979,-88.410937
"Fruithurst",AL,33.729539,-85.431249
"Fulton",AL,31.790989,-87.744212
"Fultondale",AL,33.617363,-86.801436
"Fyffe",AL,34.448957,-85.905167
"Gadsden",AL,34.006597,-86.016078
"Gainesville",AL,32.814934,-88.160791
"Gallant ",AL,34.001318,-86.230171
"Gantt",AL,31.41074,-86.483524
"Garden City",AL,34.014688,-86.749054
"Gardendale",AL,33.674039,-86.80846
"Gaylesville",AL,34.267444,-85.561248
"Geiger",AL,32.868715,-88.318154
"Geneva",AL,31.043278,-85.875833
"Georgiana",AL,31.639134,-86.746762
"Geraldine",AL,34.359087,-86.002579
"Gilbertown",AL,31.866247,-88.307545
"Glen Allen",AL,33.892108,-87.732682
"Glencoe",AL,33.948339,-85.933606
"Glenwood",AL,31.671266,-86.173687
"Goldville",AL,33.084867,-85.777982
"Good Hope",AL,34.110689,-86.867104
"Goodwater",AL,33.060713,-86.052486
"Gordo",AL,33.322286,-87.903681
"Gordon",AL,31.143606,-85.092504
"Gordonville",AL,32.159179,-86.704235
"Goshen",AL,31.720015,-86.123245
"Graham ",AL,33.455191,-85.323085
"Grand Bay ",AL,30.472082,-88.344401
"Grant",AL,34.518173,-86.26043
"Grayson Valley ",AL,33.646568,-86.641942
"Graysville",AL,33.633756,-86.941398
"Greensboro",AL,32.700968,-87.5937
"Greenville",AL,31.843072,-86.636951
"Grimes",AL,31.299869,-85.45029
"Grove Hill",AL,31.69867,-87.772868
"Guin",AL,33.98322,-87.902363
"Gulfcrest ",AL,30.991107,-88.24223
"Gulf Shores",AL,30.277172,-87.702355
"Guntersville",AL,34.367947,-86.252323
"Gurley",AL,34.701364,-86.380271
"Gu-Win",AL,33.94433,-87.870376
"Hackleburg",AL,34.269355,-87.830402
"Hackneyville ",AL,33.054654,-85.934423
"Haleburg",AL,31.409976,-85.138068
"Haleyville",AL,34.233832,-87.617574
"Hamilton",AL,34.138713,-87.970833
"Hammondville",AL,34.566232,-85.640348
"Hanceville",AL,34.06401,-86.764436
"Hanover ",AL,33.002922,-86.200931
"Harpersville",AL,33.317725,-86.428431
"Hartford",AL,31.105348,-85.691225
"Hartselle",AL,34.440434,-86.940364
"Harvest ",AL,34.85507,-86.758643
"Hatton ",AL,34.560671,-87.413835
"Hayden",AL,33.894514,-86.744224
"Hayneville",AL,32.182595,-86.578588
"Hazel Green ",AL,34.923656,-86.567392
"Headland",AL,31.354974,-85.357031
"Heath",AL,31.344839,-86.46905
"Heflin",AL,33.6474,-85.569339
"Helena",AL,33.284471,-86.886484
"Henagar",AL,34.630641,-85.730918
"Highland Lake",AL,33.894586,-86.422553
"Highland Lakes ",AL,33.397611,-86.64792
"Hillsboro",AL,34.642586,-87.178489
"Hissop ",AL,32.890568,-86.129601
"Hobson ",AL,31.488725,-88.150928
"Hobson City",AL,33.618801,-85.846146
"Hodges",AL,34.334246,-87.92316
"Hokes Bluff",AL,33.989682,-85.862873
"Hollins ",AL,33.121757,-86.126967
"Hollis Crossroads ",AL,33.531333,-85.652862
"Holly Pond",AL,34.167686,-86.612067
"Hollywood",AL,34.717279,-85.965579
"Holt ",AL,33.229745,-87.482894
"Holtville ",AL,32.630299,-86.328004
"Homewood",AL,33.45855,-86.80965
"Hoover",AL,33.375128,-86.809416
"Horn Hill",AL,31.238137,-86.325163
"Hueytown",AL,33.408604,-87.016565
"Huguley ",AL,32.843062,-85.239635
"Huntsville",AL,34.69772,-86.67667
"Hurtsboro",AL,32.24009,-85.41467
"Hytop",AL,34.896635,-86.089176
"Ider",AL,34.702599,-85.668958
"Indian Springs Village",AL,33.361209,-86.746856
"Irondale",AL,33.539914,-86.659082
"Ivalee ",AL,34.037204,-86.147182
"Jackson",AL,31.532321,-87.891183
"Jacksons' Gap",AL,32.880932,-85.818278
"Jacksonville",AL,33.810066,-85.755217
"Jasper",AL,33.85111,-87.268348
"Jemison",AL,32.970705,-86.73307
"Joppa ",AL,34.29955,-86.549946
"Kansas",AL,33.902808,-87.556598
"Kellyton",AL,32.979188,-86.034608
"Kennedy",AL,33.580722,-87.9855
"Killen",AL,34.860954,-87.529346
"Kimberly",AL,33.776982,-86.800198
"Kinsey",AL,31.296269,-85.334994
"Kinston",AL,31.219604,-86.170075
"Ladonia ",AL,32.459709,-85.090423
"La Fayette",AL,32.899427,-85.400795
"Lakeview",AL,34.391675,-85.975573
"Lake View",AL,33.281696,-87.1413
"Lanett",AL,32.858649,-85.207788
"Langston",AL,34.545063,-86.09335
"Leeds",AL,33.546847,-86.571448
"Leesburg",AL,34.178627,-85.777897
"Leighton",AL,34.69368,-87.524282
"Leroy ",AL,31.494971,-87.972773
"Lester",AL,34.982751,-87.155536
"Level Plains",AL,31.307125,-85.768722
"Lexington",AL,34.959351,-87.37283
"Libertyville",AL,31.24005,-86.456955
"Lillian ",AL,30.418904,-87.420751
"Lincoln",AL,33.580169,-86.127876
"Linden",AL,32.30136,-87.792583
"Lineville",AL,33.312832,-85.752278
"Lipscomb",AL,33.426005,-86.926103
"Lisman",AL,32.171729,-88.284092
"Littleville",AL,34.595121,-87.670729
"Livingston",AL,32.595549,-88.186929
"Loachapoka",AL,32.607946,-85.598479
"Lockhart",AL,31.013011,-86.350273
"Locust Fork",AL,33.876794,-86.647093
"Lookout Mountain ",AL,34.115916,-85.965464
"Louisville",AL,31.781047,-85.558336
"Lowndesboro",AL,32.276422,-86.610848
"Loxley",AL,30.684588,-87.739213
"Luverne",AL,31.718941,-86.269082
"Lynn",AL,34.057591,-87.548643
"McCalla ",AL,33.303112,-87.02666
"McDonald Chapel ",AL,33.518576,-86.938462
"Macedonia ",AL,33.403139,-88.239221
"McIntosh",AL,31.264957,-88.028369
"McKenzie",AL,31.54647,-86.725954
"McMullen",AL,33.1481,-88.175749
"Madison",AL,34.710533,-86.76228
"Madrid",AL,31.035635,-85.399205
"Magnolia Springs",AL,30.40341,-87.775895
"Malcolm ",AL,31.198806,-88.000624
"Malvern",AL,31.143698,-85.522973
"Maplesville",AL,32.784391,-86.879694
"Marbury ",AL,32.672984,-86.463728
"Margaret",AL,33.672861,-86.463942
"Marion",AL,32.631968,-87.317333
"Maytown",AL,33.549954,-87.000043
"Meadowbrook ",AL,33.395235,-86.704373
"Megargel ",AL,31.378141,-87.430649
"Memphis",AL,33.137044,-88.305942
"Mentone",AL,34.563209,-85.589704
"Meridianville ",AL,34.874913,-86.580559
"Midfield",AL,33.455272,-86.922414
"Midland City",AL,31.315675,-85.493674
"Midway",AL,32.076373,-85.524417
"Mignon ",AL,33.18658,-86.256886
"Millbrook",AL,32.501474,-86.373914
"Millerville ",AL,33.191458,-85.929828
"Millport",AL,33.555935,-88.082382
"Millry",AL,31.621199,-88.327956
"Minor ",AL,33.539011,-86.940073
"Mobile",AL,30.668246,-88.107853
"Monroeville",AL,31.516223,-87.327714
"Montevallo",AL,33.126053,-86.847702
"Montgomery",AL,32.348503,-86.267307
"Moody",AL,33.603429,-86.493786
"Moores Mill ",AL,34.852143,-86.52038
"Mooresville",AL,34.625883,-86.880025
"Morris",AL,33.746223,-86.800755
"Morrison Crossroads ",AL,33.417996,-85.488284
"Mosses",AL,32.188758,-86.679435
"Moulton",AL,34.488301,-87.282707
"Moundville",AL,32.996542,-87.627545
"Mountain Brook",AL,33.491488,-86.73447
"Mount Olive ",AL,33.078454,-86.13304
"Mount Olive ",AL,33.669286,-86.87549
"Mount Vernon",AL,31.087727,-88.013166
"Movico ",AL,31.062763,-88.026619
"Mulga",AL,33.556313,-86.972304
"Munford",AL,33.527644,-85.953809
"Muscle Shoals",AL,34.742657,-87.633767
"Myrtlewood",AL,32.252088,-87.949261
"Nanafalia ",AL,32.111393,-87.995757
"Nances Creek ",AL,33.855501,-85.669104
"Napier Field",AL,31.314925,-85.454929
"Natural Bridge",AL,34.092195,-87.601
"Nauvoo",AL,33.984386,-87.48544
"Nectar",AL,33.979779,-86.620614
"Needham",AL,31.987,-88.336563
"Newbern",AL,32.591672,-87.535614
"New Brockton",AL,31.37671,-85.919028
"New Hope",AL,34.537972,-86.41237
"New Market ",AL,34.892335,-86.425818
"New Site",AL,33.026041,-85.784536
"Newton",AL,31.341229,-85.588307
"New Union ",AL,34.133682,-86.228002
"Newville",AL,31.420604,-85.33669
"Nixburg ",AL,32.855488,-86.100838
"North Courtland",AL,34.680023,-87.305717
"North Johns",AL,33.367769,-87.100725
"Northport",AL,33.257565,-87.596396
"Notasulga",AL,32.555409,-85.668577
"Oak Grove",AL,33.190359,-86.303727
"Oak Hill",AL,31.92162,-87.085234
"Oakman",AL,33.714322,-87.388699
"Odenville",AL,33.700875,-86.423371
"Ohatchee",AL,33.789759,-86.029062
"Oneonta",AL,33.947038,-86.489793
"Onycha",AL,31.225693,-86.276024
"Opelika",AL,32.660739,-85.37889
"Opp",AL,31.284375,-86.257442
"Orange Beach",AL,30.293987,-87.595371
"Orrville",AL,32.306769,-87.245447
"Our Town ",AL,32.842211,-85.967035
"Owens Cross Roads",AL,34.585458,-86.455027
"Oxford",AL,33.59641,-85.868219
"Ozark",AL,31.451615,-85.645035
"Paint Rock",AL,34.660934,-86.333952
"Panola ",AL,32.946819,-88.262266
"Parrish",AL,33.732321,-87.280127
"Pea Ridge ",AL,33.133805,-86.937949
"Pelham",AL,33.32183,-86.742197
"Pell City",AL,33.560312,-86.263634
"Pennington",AL,32.200612,-88.037572
"Penton ",AL,33.009832,-85.474824
"Perdido ",AL,31.005634,-87.630272
"Perdido Beach",AL,30.353879,-87.5048
"Peterman ",AL,31.583669,-87.263042
"Petrey",AL,31.85216,-86.204007
"Phenix City",AL,32.453709,-85.031019
"Phil Campbell",AL,34.351547,-87.707359
"Pickensville",AL,33.235782,-88.289443
"Piedmont",AL,33.927557,-85.615267
"Pike Road",AL,32.273609,-86.118927
"Pinckard",AL,31.318989,-85.537836
"Pine Apple",AL,31.872155,-86.989059
"Pine Hill",AL,31.985884,-87.587516
"Pine Level ",AL,32.579539,-86.454318
"Pine Ridge",AL,34.447915,-85.783831
"Pinson",AL,33.709262,-86.663613
"Pisgah",AL,34.684366,-85.84601
"Pleasant Grove",AL,33.493967,-86.97815
"Pleasant Groves",AL,34.737619,-86.197637
"Point Clear ",AL,30.486112,-87.911132
"Pollard",AL,31.023877,-87.172978
"Powell",AL,34.532588,-85.897553
"Prattville",AL,32.449041,-86.449401
"Priceville",AL,34.529583,-86.882177
"Prichard",AL,30.773337,-88.131416
"Providence",AL,32.342386,-87.776115
"Putnam ",AL,32.018084,-88.033057
"Ragland",AL,33.748325,-86.135927
"Rainbow City",AL,33.928777,-86.084228
"Rainsville",AL,34.494364,-85.836505
"Ranburne",AL,33.525853,-85.339013
"Ray ",AL,32.868141,-86.045252
"Red Bay",AL,34.436097,-88.136515
"Redland ",AL,32.481426,-86.143759
"Red Level",AL,31.406711,-86.606217
"Redstone Arsenal ",AL,34.677035,-86.650344
"Reece City",AL,34.077241,-86.034498
"Reeltown ",AL,32.574211,-85.819562
"Reform",AL,33.37826,-88.017273
"Rehobeth",AL,31.122548,-85.439648
"Remlap ",AL,33.806972,-86.593941
"Repton",AL,31.409716,-87.238931
"Ridgeville",AL,34.056929,-86.102874
"River Falls",AL,31.352397,-86.544609
"Riverside",AL,33.616394,-86.204357
"Riverview",AL,31.06126,-87.077531
"Roanoke",AL,33.145305,-85.369526
"Robertsdale",AL,30.557139,-87.704723
"Rock Creek ",AL,33.477227,-87.081249
"Rockford",AL,32.896866,-86.208346
"Rock Mills ",AL,33.15994,-85.28107
"Rockville ",AL,31.405776,-87.844212
"Rogersville",AL,34.827714,-87.284092
"Rosa",AL,33.992756,-86.500325
"Russellville",AL,34.505719,-87.728123
"Rutledge",AL,31.724072,-86.302008
"St. Florian",AL,34.874098,-87.623736
"St. Stephens ",AL,31.571111,-88.052834
"Saks ",AL,33.711401,-85.853698
"Samson",AL,31.112417,-86.046735
"Sand Rock",AL,34.231228,-85.770416
"Sanford",AL,31.298819,-86.398848
"Saraland",AL,30.854509,-88.109809
"Sardis City",AL,34.172413,-86.119104
"Satsuma",AL,30.857874,-88.063383
"Scottsboro",AL,34.64462,-86.048155
"Section",AL,34.581644,-85.984942
"Selma",AL,32.416983,-87.035702
"Selmont-West Selmont ",AL,32.378253,-87.006888
"Semmes",AL,30.796223,-88.24759
"Sheffield",AL,34.757019,-87.697085
"Shelby ",AL,33.106882,-86.585403
"Shiloh",AL,34.462666,-85.877617
"Shoal Creek ",AL,33.430763,-86.610925
"Shorter",AL,32.411501,-85.972808
"Silas",AL,31.767802,-88.325923
"Silverhill",AL,30.545359,-87.750557
"Sims Chapel ",AL,31.249255,-88.142971
"Sipsey",AL,33.822119,-87.082918
"Skyline",AL,34.798524,-86.12243
"Slocomb",AL,31.112126,-85.59866
"Smiths Station",AL,32.522852,-85.099425
"Smoke Rise ",AL,33.879942,-86.824683
"Snead",AL,34.116228,-86.390916
"Somerville",AL,34.467053,-86.791203
"Southside",AL,33.890841,-86.01802
"South Vinemont",AL,34.235567,-86.863965
"Spanish Fort",AL,30.722968,-87.865917
"Spring Garden ",AL,33.972965,-85.555756
"Springville",AL,33.74052,-86.484086
"Spruce Pine ",AL,34.39287,-87.729597
"Standing Rock ",AL,33.08569,-85.239849
"Stapleton ",AL,30.735558,-87.797727
"Steele",AL,33.941378,-86.192107
"Sterrett ",AL,33.442198,-86.461045
"Stevenson",AL,34.876797,-85.81435
"Stewartville ",AL,33.075532,-86.260693
"Stockton ",AL,31.001245,-87.873929
"Sulligent",AL,33.891189,-88.126633
"Sumiton",AL,33.749269,-87.046903
"Summerdale",AL,30.476741,-87.687561
"Susan Moore",AL,34.072993,-86.414156
"Sweet Water",AL,32.104614,-87.861889
"Sylacauga",AL,33.18867,-86.274799
"Sylvania",AL,34.562039,-85.804722
"Sylvan Springs",AL,33.530194,-87.031158
"Talladega",AL,33.431757,-86.099454
"Talladega Springs",AL,33.120452,-86.437761
"Tallassee",AL,32.532665,-85.891993
"Tarrant",AL,33.592897,-86.766253
"Taylor",AL,31.168811,-85.47579
"Theodore ",AL,30.538686,-88.187573
"Thomaston",AL,32.268277,-87.623706
"Thomasville",AL,31.915011,-87.737204
"Thorsby",AL,32.916909,-86.720335
"Tibbie ",AL,31.37049,-88.243862
"Tidmore Bend ",AL,34.033184,-85.926387
"Tillmans Corner ",AL,30.581533,-88.21278
"Town Creek",AL,34.671301,-87.407763
"Toxey",AL,31.910712,-88.309146
"Trafford",AL,33.818713,-86.746502
"Triana",AL,34.587779,-86.748488
"Trinity",AL,34.597445,-87.081354
"Troy",AL,31.80196,-85.96713
"Trussville",AL,33.655233,-86.563239
"Tuscaloosa",AL,33.234404,-87.5283
"Tuscumbia",AL,34.718502,-87.702586
"Tuskegee",AL,32.418723,-85.682509
"Twin",AL,33.992314,-87.852295
"Underwood-Petersville ",AL,34.876112,-87.698157
"Union",AL,32.99381,-87.907179
"Union Grove",AL,34.406172,-86.451667
"Union Springs",AL,32.139506,-85.714623
"Uniontown",AL,32.44662,-87.487271
"Uriah ",AL,31.307365,-87.499213
"Valley",AL,32.808736,-85.18108
"Valley Grande",AL,32.486872,-87.032773
"Valley Head",AL,34.556234,-85.623008
"Vance",AL,33.173992,-87.226627
"Vandiver ",AL,33.458856,-86.529222
"Vernon",AL,33.758816,-88.114291
"Vestavia Hills",AL,33.462496,-86.739508
"Vina",AL,34.376175,-88.060572
"Vincent",AL,33.383145,-86.402544
"Vinegar Bend ",AL,31.259093,-88.367264
"Vredenburgh",AL,31.823234,-87.318077
"Wadley",AL,33.1234,-85.568592
"Waldo",AL,33.387083,-86.041075
"Walnut Grove",AL,34.064595,-86.28717
"Warrior",AL,33.814858,-86.81565
"Waterloo",AL,34.917199,-88.064373
"Waverly",AL,32.730078,-85.570999
"Weaver",AL,33.75907,-85.809363
"Webb",AL,31.257237,-85.289622
"Wedowee",AL,33.308004,-85.4865
"Weogufka ",AL,33.021724,-86.309146
"West Blocton",AL,33.118176,-87.125225
"West End-Cobb Town ",AL,33.651481,-85.876553
"West Jefferson",AL,33.673375,-87.040582
"Westover",AL,33.36734,-86.533986
"West Point",AL,34.238735,-86.964017
"Wetumpka",AL,32.542018,-86.205307
"Whatley ",AL,31.646343,-87.710836
"White Hall",AL,32.297411,-86.715776
"White Plains ",AL,33.759312,-85.68847
"Whitesboro ",AL,34.169004,-86.058499
"Wilsonville",AL,33.240752,-86.491105
"Wilton",AL,33.081565,-86.879655
"Winfield",AL,33.934717,-87.79131
"Woodland",AL,33.374432,-85.39753
"Woodstock",AL,33.217498,-87.148433
"Woodville",AL,34.629535,-86.283558
"Yellow Bluff",AL,31.962341,-87.477359
"York",AL,32.500586,-88.291394
"Adak",AK,51.909499,-176.599175
"Akhiok",AK,56.948329,-154.215306
"Akiachak ",AK,60.920991,-161.402199
"Akiak",AK,60.912838,-161.216225
"Akutan",AK,54.139971,-165.763035
"Alakanuk",AK,62.711117,-164.649661
"Alatna ",AK,66.563353,-152.837612
"Alcan Border ",AK,62.703111,-141.193921
"Aleknagik",AK,59.288867,-158.664457
"Aleneva ",AK,58.059052,-152.909015
"Allakaket",AK,66.541878,-152.583009
"Ambler",AK,67.080903,-157.90558
"Anaktuvuk Pass",AK,68.149752,-151.697066
"Anchorage",AK,61.17425,-149.284329
"Anchor Point ",AK,59.763714,-151.702167
"Anderson",AK,64.308047,-149.164091
"Angoon",AK,57.441257,-134.478357
"Aniak",AK,61.57882,-159.547402
"Anvik",AK,62.63166,-160.214663
"Arctic Village ",AK,68.165277,-145.401351
"Atka",AK,52.209596,-174.213303
"Atmautluak ",AK,60.861238,-162.283548
"Atqasuk",AK,70.480786,-157.325459
"Attu Station ",AK,52.880263,+173.256091
"Badger ",AK,64.805819,-147.393072
"Bear Creek ",AK,60.208064,-149.369777
"Beaver ",AK,66.382802,-147.321934
"Beluga ",AK,61.191347,-151.183556
"Bethel",AK,60.793903,-161.795863
"Bettles",AK,66.90686,-151.53801
"Big Delta ",AK,64.156005,-145.740935
"Big Lake ",AK,61.515547,-149.975482
"Birch Creek ",AK,66.268333,-145.876445
"Brevig Mission",AK,65.343109,-166.509495
"Buckland",AK,65.977236,-161.138619
"Buffalo Soapstone ",AK,61.684439,-149.121172
"Butte ",AK,61.533915,-148.987811
"Cantwell ",AK,63.411402,-148.749634
"Central ",AK,65.539357,-144.497633
"Chalkyitsik ",AK,66.646727,-143.785741
"Chase ",AK,62.418236,-149.936172
"Chefornak",AK,60.149844,-164.259597
"Chena Ridge ",AK,64.794305,-148.032883
"Chenega ",AK,60.091907,-147.994689
"Chevak",AK,61.529535,-165.594217
"Chickaloon ",AK,61.815278,-148.292133
"Chicken ",AK,64.087693,-141.828309
"Chignik",AK,56.294401,-158.40306
"Chignik Lagoon ",AK,56.304266,-158.500252
"Chignik Lake ",AK,56.254229,-158.782503
"Chiniak ",AK,57.575497,-152.279033
"Chisana ",AK,62.110039,-142.050549
"Chistochina ",AK,62.596444,-144.941045
"Chitina ",AK,61.55188,-144.174317
"Chuathbaluk",AK,61.573919,-159.246921
"Circle ",AK,65.790425,-144.196008
"Clam Gulch ",AK,60.208887,-151.404203
"Clark's Point",AK,58.833005,-158.52738
"Coffman Cove",AK,56.001661,-132.841966
"Cohoe ",AK,60.266999,-151.298136
"Cold Bay",AK,55.215322,-162.776026
"Coldfoot ",AK,67.260741,-150.069894
"College ",AK,64.86729,-147.819453
"Cooper Landing ",AK,60.494579,-149.843945
"Copper Center ",AK,62.008042,-145.392712
"Cordova",AK,60.530046,-145.641872
"Covenant Life ",AK,59.397505,-136.123002
"Craig",AK,55.488746,-133.111568
"Crooked Creek ",AK,61.796848,-158.080988
