Geographic Area,CITY POPULATION
"Clanton,  Alabama","9,228"
"Clay,  Alabama","10,241"
"Clayhatchee,  Alabama",483
"Clayton,  Alabama","2,192"
"Cleveland,  Alabama","1,263"
"Clio,  Alabama","1,190"
"Coaling,  Alabama","1,997"
"Coffee Springs,  Alabama",211
"Coffeeville,  Alabama",248
"Coker,  Alabama",889
"Collinsville,  Alabama","2,064"
"Colony,  Alabama",276
"Columbia,  Alabama",707
"Columbiana,  Alabama","4,904"
"Coosada,  Alabama","1,299"
"Cordova,  Alabama","1,680"
"Cottonwood,  Alabama","1,093"
"County Line,  Alabama",325
"Courtland,  Alabama",593
"Cowarts,  Alabama","2,038"
"Creola,  Alabama","1,972"
"Crossville,  Alabama","1,829"
"Cuba,  Alabama",279
"Cullman,  Alabama","20,239"
"Cusseta,  Alabama",151
"Dadeville,  Alabama","2,934"
"Daleville,  Alabama","4,992"
"Daphne,  Alabama","30,751"
"Dauphin Island,  Alabama","1,923"
"Daviston,  Alabama",177
"Dayton,  Alabama",28
"Deatsville,  Alabama","1,707"
"Decatur,  Alabama","57,974"
"Demopolis,  Alabama","6,724"
"Detroit,  Alabama",226
"Dodge ,  Alabama",564
"Dora,  Alabama","2,242"
"Dothan,  Alabama","71,650"
"Double Springs,  Alabama","1,121"
"Douglas,  Alabama",788
"Dozier,  Alabama",283
"Dutton,  Alabama",335
"East Brewton,  Alabama","2,251"
"Eclectic,  Alabama","1,213"
"Edwardsville,  Alabama",219
"Elba,  Alabama","3,531"
"Elberta,  Alabama","2,147"
"Eldridge,  Alabama",131
"Elkmont,  Alabama",444
"Elmore,  Alabama","1,356"
"Emelle,  Alabama",28
"Enterprise,  Alabama","30,731"
"Epes,  Alabama",266
"Ethelsville,  Alabama",48
"Eufaula,  Alabama","12,363"
"Eutaw,  Alabama","2,655"
"Eva,  Alabama",597
"Evergreen,  Alabama","3,323"
"Excel,  Alabama",522
"Fairfield,  Alabama","9,524"
"Fairhope,  Alabama","26,044"
"Fairview,  Alabama",540
"Falkville,  Alabama","1,123"
"Faunsdale,  Alabama",82
"Fayette,  Alabama","4,080"
"Five Points,  Alabama",116
"Flomaton,  Alabama","1,447"
"Florala,  Alabama","1,930"
"Florence,  Alabama","42,716"
"Foley,  Alabama","28,043"
"Forkland,  Alabama",419
"Fort Deposit,  Alabama","1,122"
"Fort Payne,  Alabama","15,017"
"Franklin,  Alabama",568
"Frisco ,  Alabama","1,106"
"Fruithurst,  Alabama",255
"Fulton,  Alabama",213
"Fultondale,  Alabama","9,325"
"Fyffe,  Alabama",976
"Gadsden,  Alabama","33,086"
"Gainesville,  Alabama",164
"Gantt,  Alabama",197
"Garden ,  Alabama",542
"Gardendale,  Alabama","16,444"
"Gaylesville,  Alabama",177
"Geiger,  Alabama",153
"Geneva,  Alabama","4,242"
"Georgiana,  Alabama","1,267"
"Geraldine,  Alabama",911
"Gilber,  Alabama",702
"Glen Allen,  Alabama",421
"Glencoe,  Alabama","5,396"
"Glenwood,  Alabama",154
"Goldville,  Alabama",55
"Good Hope,  Alabama","2,646"
"Goodwater,  Alabama","1,255"
"Gordo,  Alabama","1,559"
"Gordon,  Alabama",301
"Gordonville,  Alabama",224
"Goshen,  Alabama",267
"Grant,  Alabama","1,062"
"Graysville,  Alabama","1,859"
"Greensboro,  Alabama","2,187"
"Greenville,  Alabama","6,983"
"Grimes,  Alabama",587
"Grove Hill,  Alabama","1,723"
"Guin,  Alabama","2,137"
"Gulf Shores,  Alabama","17,431"
"Guntersville,  Alabama","9,242"
"Gurley,  Alabama",846
"Gu-Win,  Alabama",142
"Hackleburg,  Alabama","1,448"
"Haleburg,  Alabama",117
"Haleyville,  Alabama","4,313"
"Hamilton,  Alabama","6,944"
"Hammondville,  Alabama",428
"Hanceville,  Alabama","3,346"
"Harpersville,  Alabama","1,925"
"Hartford,  Alabama","2,763"
"Hartselle,  Alabama","16,201"
"Hayden,  Alabama","1,355"
"Hayneville,  Alabama",747
"Headland,  Alabama","5,429"
"Heath,  Alabama",242
"Heflin,  Alabama","3,557"
"Helena,  Alabama","22,200"
"Henagar,  Alabama","2,322"
"Highland Lake,  Alabama",430
"Hillsboro,  Alabama",404
"Hobson ,  Alabama",739
"Hodges,  Alabama",262
"Hokes Bluff,  Alabama","4,668"
"Holly Pond,  Alabama",870
"Hollywood,  Alabama",928
"Homewood,  Alabama","27,919"
"Hoover,  Alabama","93,013"
"Horn Hill,  Alabama",208
"Huey,  Alabama","16,185"
"Huntsville,  Alabama","230,402"
"Hurtsboro,  Alabama",342
"Hytop,  Alabama",453
"Ider,  Alabama",738
"Indian Springs Village,  Alabama","2,551"
"Irondale,  Alabama","13,545"
"Jackson,  Alabama","4,477"
"Jacksons' Gap,  Alabama",749
"Jacksonville,  Alabama","14,651"
"Jasper,  Alabama","14,561"
"Jemison,  Alabama","2,999"
"Kansas,  Alabama",180
"Kellyton,  Alabama",127
"Kennedy,  Alabama",425
"Killen,  Alabama","1,040"
"Kimberly,  Alabama","4,699"
"Kinsey,  Alabama","2,265"
"Kinston,  Alabama",599
"La Fayette,  Alabama","2,603"
"Lakeview,  Alabama",166
"Lake View,  Alabama","3,905"
"Lanett,  Alabama","6,704"
"Langston,  Alabama",272
"Leeds,  Alabama","12,573"
"Leesburg,  Alabama","1,006"
"Leighton,  Alabama",662
"Lester,  Alabama",119
"Level Plains,  Alabama","1,839"
"Lexington,  Alabama",737
"Libertyville,  Alabama",110
"Lincoln,  Alabama","7,790"
"Linden,  Alabama","1,815"
"Lineville,  Alabama","2,486"
"Lipscomb,  Alabama","2,019"
"Lisman,  Alabama",398
"Littleville,  Alabama","1,054"
"Livingston,  Alabama","3,138"
"Loachapoka,  Alabama",163
"Lockhart,  Alabama",443
"Locust Fork,  Alabama","1,235"
"Louisville,  Alabama",386
"Lowndesboro,  Alabama",76
"Loxley,  Alabama","5,176"
"Luverne,  Alabama","2,678"
"Lynn,  Alabama",628
"McIntosh,  Alabama",196
"McKenzie,  Alabama",492
"McMullen,  Alabama",34
"Madison,  Alabama","64,029"
"Madrid,  Alabama",272
"Magnolia Springs,  Alabama",853
"Malvern,  Alabama","1,677"
"Maplesville,  Alabama",660
"Margaret,  Alabama","6,654"
"Marion,  Alabama","2,702"
"May,  Alabama",314
"Memphis,  Alabama",24
"Mentone,  Alabama",334
"Midfield,  Alabama","4,930"
"Midland ,  Alabama","2,305"
"Midway,  Alabama",402
"Millbrook,  Alabama","17,392"
"Millport,  Alabama",968
"Millry,  Alabama",440
"Mobile,  Alabama","201,367"
"Monroeville,  Alabama","5,720"
"Montevallo,  Alabama","7,761"
"Montgomery,  Alabama","195,818"
"Moody,  Alabama","13,596"
"Mooresville,  Alabama",47
"Morris,  Alabama","2,278"
"Mosses,  Alabama",773
"Moulton,  Alabama","3,408"
"Moundville,  Alabama","3,614"
"Mountain Brook,  Alabama","21,701"
"Mount Vernon,  Alabama","1,366"
"Mulga,  Alabama",768
"Munford,  Alabama","1,358"
"Muscle Shoals,  Alabama","17,409"
"Myrtlewood,  Alabama",68
"Napier Field,  Alabama",415
"Natural Bridge,  Alabama",41
"Nauvoo,  Alabama",182
"Nectar,  Alabama",387
"Needham,  Alabama",69
"Newbern,  Alabama",138
"New Brockton,  Alabama","1,512"
"New Hope,  Alabama","2,954"
"New Site,  Alabama",767
"Newton,  Alabama","1,652"
"Newville,  Alabama",566
"North Courtland,  Alabama",491
"North Johns,  Alabama",126
"Northport,  Alabama","31,492"
"Notasulga,  Alabama",871
"Oak Grove,  Alabama",584
"Oak Hill,  Alabama",9
"Oakman,  Alabama",754
"Odenville,  Alabama","5,711"
"Ohatchee,  Alabama","1,199"
"Oneonta,  Alabama","7,039"
"Onycha,  Alabama",175
"Opelika,  Alabama","35,005"
"Opp,  Alabama","6,706"
"Orange Beach,  Alabama","8,599"
"Orrville,  Alabama",140
"Owens Cross Roads,  Alabama","3,164"
"Oxford,  Alabama","22,088"
"Ozark,  Alabama","14,368"
"Paint Rock,  Alabama",181
"Parrish,  Alabama",976
"Pelham,  Alabama","25,396"
"Pell ,  Alabama","14,094"
"Pennington,  Alabama",326
"Perdido Beach,  Alabama",584
"Petrey,  Alabama",62
"Phenix ,  Alabama","38,509"
"Phil Campbell,  Alabama",986
"Pickensville,  Alabama",543
"Piedmont,  Alabama","4,706"
"Pike Road,  Alabama","11,500"
"Pinckard,  Alabama",594
"Pine Apple,  Alabama",124
"Pine Hill,  Alabama",706
"Pine Ridge,  Alabama",268
"Pinson,  Alabama","7,781"
"Pisgah,  Alabama",690
"Pleasant Grove,  Alabama","9,375"
"Pleasant Groves,  Alabama",435
"Pollard,  Alabama",126
"Powell,  Alabama",929
"Prattville,  Alabama","40,139"
"Priceville,  Alabama","3,872"
"Prichard,  Alabama","18,778"
"Providence,  Alabama",162
"Ragland,  Alabama","1,709"
"Rainbow ,  Alabama","10,349"
"Rainsville,  Alabama","5,931"
"Ranburne,  Alabama",436
"Red Bay,  Alabama","3,171"
"Red Level,  Alabama",429
"Reece ,  Alabama",610
"Reform,  Alabama","1,437"
"Rehobeth,  Alabama","2,107"
"Repton,  Alabama",223
"Ridgeville,  Alabama",85
"River Falls,  Alabama",488
"Riverside,  Alabama","2,304"
"Riverview,  Alabama",163
"Roanoke,  Alabama","5,424"
"Robertsdale,  Alabama","7,613"
"Rockford,  Alabama",349
"Rogersville,  Alabama","1,414"
"Rosa,  Alabama",381
"Russellville,  Alabama","10,736"
"Rutledge,  Alabama",346
"St. Florian,  Alabama",717
"Samson,  Alabama","1,882"
"Sand Rock,  Alabama",611
"Sanford,  Alabama",264
"Saraland,  Alabama","16,458"
"Sardis ,  Alabama","1,782"
"Satsuma,  Alabama","6,874"
"Scottsboro,  Alabama","15,957"
"Section,  Alabama",773
"Selma,  Alabama","16,312"
"Semmes,  Alabama","6,193"
"Sheffield,  Alabama","9,335"
"Shiloh,  Alabama",331
"Shorter,  Alabama",366
"Silas,  Alabama",355
"Silverhill,  Alabama","2,030"
"Sipsey,  Alabama",365
"Skyline,  Alabama",859
"Slocomb,  Alabama","2,170"
"Smiths Station,  Alabama","5,583"
"Snead,  Alabama","1,046"
"Somerville,  Alabama",821
"Southside,  Alabama","9,633"
"South Vinemont,  Alabama",614
"Spanish Fort,  Alabama","11,118"
"Springville,  Alabama","5,392"
"Steele,  Alabama","1,003"
"Stevenson,  Alabama","1,975"
"Sulligent,  Alabama","1,816"
"Sumiton,  Alabama","2,511"
"Summerdale,  Alabama","1,612"
"Susan Moore,  Alabama",808
"Sweet Water,  Alabama",216
"Sylacauga,  Alabama","12,123"
"Sylvania,  Alabama","1,824"
"Sylvan Springs,  Alabama","1,613"
"Talladega,  Alabama","14,693"
"Talladega Springs,  Alabama",146
"Tallassee,  Alabama","4,715"
"Tarrant,  Alabama","5,806"
"Taylor,  Alabama","2,337"
"Thomaston,  Alabama",311
"Thomasville,  Alabama","3,540"
"Thorsby,  Alabama","2,190"
" Creek,  Alabama","1,055"
"Toxey,  Alabama",137
"Trafford,  Alabama",599
"Triana,  Alabama","4,936"
"Trinity,  Alabama","2,602"
"Troy,  Alabama","17,734"
"Trussville,  Alabama","27,079"
"Tuscaloosa,  Alabama","114,288"
"Tuscumbia,  Alabama","9,222"
"Tuskegee,  Alabama","8,653"
"Twin,  Alabama",359
"Union,  Alabama",167
"Union Grove,  Alabama",76
"Union Springs,  Alabama","3,157"
"Union,  Alabama","1,952"
"Valley,  Alabama","10,144"
"Valley Grande,  Alabama","3,914"
"Valley Head,  Alabama",595
"Vance,  Alabama","2,303"
"Vernon,  Alabama","1,835"
"Vestavia Hills,  Alabama","38,151"
"Vina,  Alabama",331
"Vincent,  Alabama","2,039"
"Vredenburgh,  Alabama",214
"Wadley,  Alabama",848
"Waldo,  Alabama",257
"Walnut Grove,  Alabama",787
"Warrior,  Alabama","3,247"
"Waterloo,  Alabama",184
"Waverly,  Alabama",148
"Weaver,  Alabama","3,317"
"Webb,  Alabama","1,329"
"Wedowee,  Alabama",751
"West Blocton,  Alabama","1,197"
"West Jefferson,  Alabama",477
"Westover,  Alabama","2,010"
"West Point,  Alabama",654
"Wetumpka,  Alabama","7,667"
"White Hall,  Alabama",751
"Wilsonville,  Alabama","1,948"
"Wilton,  Alabama",594
"Winfield,  Alabama","4,862"
"Woodland,  Alabama",225
"Woodstock,  Alabama","1,616"
"Woodville,  Alabama",755
"Yellow Bluff,  Alabama",211
"York,  Alabama","2,278"
"Adak,  Alaska",169
"Akhiok,  Alaska",63
"Akiak,  Alaska",447
"Akutan,  Alaska","1,596"
"Alakanuk,  Alaska",718
"Aleknagik,  Alaska",200
"Allakaket,  Alaska",171
"Ambler,  Alaska",247
"Anaktuvuk Pass,  Alaska",401
"Anchorage municipality,   Alaska","289,600"
"Anderson,  Alaska",177
"Angoon,  Alaska",341
"Aniak,  Alaska",492
"Anvik,  Alaska",71
"Atka,  Alaska",60
"Atqasuk,  Alaska",257
"Bethel,  Alaska","6,335"
"Bettles,  Alaska",24
"Brevig Mission,  Alaska",419
"Buckland,  Alaska",499
"Chefornak,  Alaska",490
"Chevak,  Alaska",901
"Chignik,  Alaska",86
"Chuathbaluk,  Alaska",99
"Clark's Point,  Alaska",64
"Coffman Cove,  Alaska",128
"Cold Bay,  Alaska",60
"Cordova,  Alaska","2,413"
"Craig,  Alaska","1,051"
"Deering,  Alaska",162
"Delta Junction,  Alaska",985
"Dillingham,  Alaska","2,145"
"Diomede,  Alaska",81
"Eagle,  Alaska",89
"Edna Bay,  Alaska",26
"Eek,  Alaska",388
"Egegik,  Alaska",34
"Ekwok,  Alaska",104
"Elim,  Alaska",363
"Emmonak,  Alaska",781
"Fairbanks,  Alaska","31,732"
"False Pass,  Alaska",404
"Fort Yukon,  Alaska",411
"Galena,  Alaska",461
"Gambell,  Alaska",623
"Golovin,  Alaska",167
"Goodnews Bay,  Alaska",251
"Grayling,  Alaska",199
"Gustavus,  Alaska",623
"Holy Cross,  Alaska",171
"Homer,  Alaska","6,136"
"Hoonah,  Alaska",978
"Hooper Bay,  Alaska","1,299"
"Houston,  Alaska","2,226"
"Hughes,  Alaska",82
"Huslia,  Alaska",291
"Hydaburg,  Alaska",379
"Juneau  and borough,   Alaska","31,572"
"Kachemak,  Alaska",591
"Kake,  Alaska",541
"Kaktovik,  Alaska",272
"Kaltag,  Alaska",154
"Kasaan,  Alaska",29
"Kenai,  Alaska","7,770"
"Ketchikan,  Alaska","8,033"
"Kiana,  Alaska",408
"King Cove,  Alaska",833
"Kivalina,  Alaska",400
"Klawock,  Alaska",717
"Kobuk,  Alaska",167
"Kodiak,  Alaska","5,399"
"Kotlik,  Alaska",625
"Kotzebue,  Alaska","2,889"
"Koyuk,  Alaska",299
"Koyukuk,  Alaska",92
"Kupreanof,  Alaska",19
"Kwethluk,  Alaska",780
"Larsen Bay,  Alaska",33
"Lower Kalskag,  Alaska",269
"McGrath,  Alaska",284
"Manokotak,  Alaska",466
"Marshall,  Alaska",467
"Mekoryuk,  Alaska",200
"Mountain Village,  Alaska",591
"Napakiak,  Alaska",345
"Napaskiak,  Alaska",491
"Nenana,  Alaska",339
"Newhalen,  Alaska",149
"New Stuyahok,  Alaska",495
"Nightmute,  Alaska",295
"Nikolai,  Alaska",82
"Nome,  Alaska","3,668"
"Nondalton,  Alaska",116
"Noorvik,  Alaska",625
"North Pole,  Alaska","2,505"
"Nuiqsut,  Alaska",486
"Nulato,  Alaska",225
"Nunam Iqua,  Alaska",208
"Nunapitchuk,  Alaska",578
"Old Harbor,  Alaska",207
"Ouzinkie,  Alaska",105
"Palmer,  Alaska","6,626"
"Pelican,  Alaska",91
"Pilot Point,  Alaska",60
"Pilot Station,  Alaska",587
"Platinum,  Alaska",52
"Point Hope,  Alaska",780
"Port Alexander,  Alaska",74
"Port Heiden,  Alaska",90
"Port Lions,  Alaska",166
"Quinhagak,  Alaska",744
"Ruby,  Alaska",131
"Russian Mission,  Alaska",403
"St. George,  Alaska",68
"St. Mary's,  Alaska",573
"St. Michael,  Alaska",442
"St. Paul,  Alaska",439
"Sand Point,  Alaska",681
"Savoonga,  Alaska",809
"Saxman,  Alaska",377
"Scammon Bay,  Alaska",571
"Selawik,  Alaska",737
"Seldovia,  Alaska",250
"Seward,  Alaska","2,882"
"Shageluk,  Alaska",94
"Shaktoolik,  Alaska",209
"Shishmaref,  Alaska",556
"Shungnak,  Alaska",246
"Sitka  and borough,   Alaska","8,355"
"Soldotna,  Alaska","4,553"
"Stebbins,  Alaska",613
"Tanana,  Alaska",233
"Teller,  Alaska",240
"Tenakee Springs,  Alaska",112
"Thorne Bay,  Alaska",474
"Togiak,  Alaska",781
"Toksook Bay,  Alaska",632
"Unalakleet,  Alaska",748
"Unalaska,  Alaska","4,407"
"Upper Kalskag,  Alaska",210
"Utqiagvik,  Alaska","4,668"
"Valdez,  Alaska","3,715"
"Wainwright,  Alaska",594
"Wales,  Alaska",164
"Wasilla,  Alaska","10,318"
"Whale Pass,  Alaska",87
"White Mountain,  Alaska",179
"Whittier,  Alaska",253
"Wrangell  and borough,   Alaska","2,064"
"Apache Junction,  Arizona","44,309"
"Avondale,  Arizona","96,609"
"Benson,  Arizona","5,499"
"Bisbee,  Arizona","4,957"
"Buckeye,  Arizona","114,334"
"Bullhead ,  Arizona","43,266"
"Camp Verde,  Arizona","12,608"
"Carefree,  Arizona","3,657"
"Casa Grande,  Arizona","68,927"
"Cave Creek,  Arizona","5,177"
"Chandler,  Arizona","281,231"
"Chino Valley,  Arizona","13,911"
"Clarkdale,  Arizona","4,951"
"Clifton,  Arizona","3,815"
"Colorado ,  Arizona","3,317"
"Coolidge,  Arizona","19,674"
"Cottonwood,  Arizona","12,939"
"Dewey-Humboldt,  Arizona","4,589"
"Douglas,  Arizona","15,819"
"Duncan,  Arizona",671
"Eagar,  Arizona","4,438"
"El Mirage,  Arizona","36,468"
"Eloy,  Arizona","19,199"
"Flagstaff,  Arizona","77,539"
"Florence,  Arizona","24,891"
"Fountain Hills,  Arizona","23,696"
"Fredonia,  Arizona","1,290"
"Gila Bend,  Arizona","1,847"
"Gilbert,  Arizona","288,790"
"Glendale,  Arizona","258,143"
"Globe,  Arizona","7,176"
"Goodyear,  Arizona","118,186"
"Guadalupe,  Arizona","5,197"
"Hayden,  Arizona",513
"Holbrook,  Arizona","4,837"
"Huachuca ,  Arizona","1,604"
"Jerome,  Arizona",457
"Kearny,  Arizona","1,898"
"Kingman,  Arizona","35,383"
"Lake Havasu ,  Arizona","59,037"
"Litchfield Park,  Arizona","6,863"
"Mammoth,  Arizona","1,181"
"Marana,  Arizona","62,380"
"Maricopa,  Arizona","76,654"
"Mesa,  Arizona","517,151"
"Miami,  Arizona","1,531"
"Nogales,  Arizona","19,965"
"Oro Valley,  Arizona","48,855"
"Page,  Arizona","7,230"
"Paradise Valley,  Arizona","12,523"
"Parker,  Arizona","3,456"
"Patagonia,  Arizona",796
"Payson,  Arizona","16,762"
"Peoria,  Arizona","199,924"
"Phoenix,  Arizona","1,673,164"
"Pima,  Arizona","3,148"
"Pinetop-Lakeside,  Arizona","4,148"
"Prescott,  Arizona","48,224"
"Prescott Valley,  Arizona","51,440"
"Quartzsite,  Arizona","2,425"
"Queen Creek,  Arizona","83,781"
"Safford,  Arizona","10,257"
"Sahuarita,  Arizona","37,448"
"St. Johns,  Arizona","3,352"
"San Luis,  Arizona","40,064"
"Scottsdale,  Arizona","246,170"
"Sedona,  Arizona","9,778"
"Show Low,  Arizona","12,366"
"Sierra Vista,  Arizona","44,710"
"Snowflake,  Arizona","6,736"
"Somerton,  Arizona","14,902"
"South Tucson,  Arizona","4,535"
"Springerville,  Arizona","1,723"
"Star Valley,  Arizona","2,547"
"Superior,  Arizona","2,682"
"Surprise,  Arizona","167,564"
"Taylor,  Arizona","4,386"
"Tempe,  Arizona","190,114"
"Thatcher,  Arizona","5,627"
"Tolleson,  Arizona","9,353"
"Tombstone,  Arizona","1,382"
"Tucson,  Arizona","554,013"
"Tusayan,  Arizona",587
"Wellton,  Arizona","2,648"
"Wickenburg,  Arizona","8,301"
"Willcox,  Arizona","3,217"
"Williams,  Arizona","3,482"
"Winkelman,  Arizona",295
"Winslow,  Arizona","8,577"
"Young,  Arizona","7,062"
"Yuma,  Arizona","103,559"
"Adona,  Arkansas",147
"Alexander,  Arkansas","3,792"
"Alicia,  Arkansas",136
"Allport,  Arkansas",89
"Alma,  Arkansas","6,017"
"Almyra,  Arkansas",244
"Alpena,  Arkansas",390
"Altheimer,  Arkansas",651
"Altus,  Arkansas",674
"Amagon,  Arkansas",66
"Amity,  Arkansas",677
"Anthonyville,  Arkansas",131
"Antoine,  Arkansas",112
"Arkadelphia,  Arkansas","9,894"
"Arkansas ,  Arkansas",345
"Ashdown,  Arkansas","4,088"
"Ash Flat,  Arkansas","1,172"
"Atkins,  Arkansas","2,878"
"Aubrey,  Arkansas",100
"Augusta,  Arkansas","1,848"
"Austin,  Arkansas","4,027"
"Avoca,  Arkansas",501
"Bald Knob,  Arkansas","2,533"
"Banks,  Arkansas",82
"Barling,  Arkansas","5,284"
"Bassett,  Arkansas",117
"Batesville,  Arkansas","11,539"
"Bauxite,  Arkansas",660
"Bay,  Arkansas","1,817"
"Bearden,  Arkansas",737
"Beaver,  Arkansas",68
"Beebe,  Arkansas","9,092"
"Beedeville,  Arkansas",82
"Bella Vista,  Arkansas","33,274"
"Bellefonte,  Arkansas",421
"Belleville,  Arkansas",313
"Ben Lomond,  Arkansas",137
"Benton,  Arkansas","38,088"
"Bentonville,  Arkansas","61,791"
"Bergman,  Arkansas",428
"Berryville,  Arkansas","5,763"
"Bigelow,  Arkansas",359
"Big Flat,  Arkansas",92
"Biggers,  Arkansas",307
"Birdsong,  Arkansas",31
"Black Oak,  Arkansas",229
"Black Rock,  Arkansas",630
"Black Springs,  Arkansas",93
"Blevins,  Arkansas",277
"Blue Eye,  Arkansas",44
"Blue Mountain,  Arkansas",82
"Bluff ,  Arkansas",112
"Blytheville,  Arkansas","12,359"
"Bodcaw,  Arkansas",117
"Bonanza,  Arkansas",607
"Bono,  Arkansas","2,834"
"Booneville,  Arkansas","3,805"
"Bradford,  Arkansas",681
"Bradley,  Arkansas",389
"Branch,  Arkansas",307
"Briarcliff,  Arkansas",253
"Brinkley,  Arkansas","2,538"
"Brookland,  Arkansas","4,607"
"Bryant,  Arkansas","22,271"
"Buckner,  Arkansas",153
"Bull Shoals,  Arkansas","1,912"
"Burdette,  Arkansas",132
"Cabot,  Arkansas","27,575"
"Caddo Valley,  Arkansas",590
"Caldwell,  Arkansas",421
"Cale,  Arkansas",75
"Calico Rock,  Arkansas","2,021"
"Calion,  Arkansas",412
"Camden,  Arkansas","10,116"
"Cammack Village,  Arkansas",748
"Campbell Station,  Arkansas",226
"Caraway,  Arkansas","1,095"
"Carlisle,  Arkansas","1,973"
"Carthage,  Arkansas",203
"Casa,  Arkansas",128
"Cash,  Arkansas",283
"Caulksville,  Arkansas",162
"Cave ,  Arkansas","2,007"
"Cave Springs,  Arkansas","6,304"
"Cedarville,  Arkansas","1,452"
"Centerton,  Arkansas","25,745"
"Central ,  Arkansas",470
"Charleston,  Arkansas","2,731"
"Cherokee Village,  Arkansas","4,979"
"Cherry Valley,  Arkansas",575
"Chester,  Arkansas",149
"Chidester,  Arkansas",240
"Clarendon,  Arkansas","1,439"
"Clarkedale,  Arkansas",332
"Clarksville,  Arkansas","9,606"
"Clinton,  Arkansas","2,501"
"Coal Hill,  Arkansas",814
"Colt,  Arkansas",282
"Concord,  Arkansas",193
"Conway,  Arkansas","70,711"
"Corinth,  Arkansas",41
"Corning,  Arkansas","3,086"
"Cotter,  Arkansas",948
"Cotton Plant,  Arkansas",490
"Cove,  Arkansas",328
"Coy,  Arkansas",84
"Crawfordsville,  Arkansas",444
"Crossett,  Arkansas","4,506"
"Cushman,  Arkansas",445
"Daisy,  Arkansas",85
"Damascus,  Arkansas",389
"Danville,  Arkansas","1,990"
"Dardanelle,  Arkansas","4,531"
"Datto,  Arkansas",64
"Decatur,  Arkansas","1,723"
"Delaplaine,  Arkansas",67
"Delight,  Arkansas",279
"Dell,  Arkansas",183
"Denning,  Arkansas",206
"De Queen,  Arkansas","6,069"
"Dermott,  Arkansas","2,453"
"Des Arc,  Arkansas","1,841"
"De Valls Bluff,  Arkansas",495
"DeWitt,  Arkansas","2,844"
"Diamond ,  Arkansas",836
"Diaz,  Arkansas","1,211"
"Dierks,  Arkansas",877
"Donaldson,  Arkansas",280
"Dover,  Arkansas","1,368"
"Dumas,  Arkansas","3,604"
"Dyer,  Arkansas",794
"Dyess,  Arkansas",316
"Earle,  Arkansas","1,741"
"East Camden,  Arkansas",759
"Edmondson,  Arkansas",240
"Egypt,  Arkansas",108
"Elaine,  Arkansas",445
"El Dorado,  Arkansas","16,657"
"Elkins,  Arkansas","4,025"
"Elm Springs,  Arkansas","2,872"
"Emerson,  Arkansas",280
"Emmet,  Arkansas",397
"England,  Arkansas","2,427"
"Enola,  Arkansas",327
"Etowah,  Arkansas",240
"Eudora,  Arkansas","1,543"
"Eureka Springs,  Arkansas","2,188"
"Evening Shade,  Arkansas",436
"Everton,  Arkansas",105
